CGPA,Skills,Internship,Certifications,Aptitude,Projects,Placed
6.3,1,0,1,95,2,0
6.52,7,0,2,98,0,1
6.51,8,1,5,67,1,1
6.61,6,1,1,40,4,1
6.56,5,0,0,81,2,0
8.56,6,0,2,57,3,1
6.73,2,0,1,87,1,0
7.38,1,0,5,79,2,1
9.59,7,0,1,72,3,1
7.9,7,0,1,51,0,1
8.67,10,1,5,47,3,1
6.69,11,0,2,63,2,1
6.77,10,0,3,55,2,1
6.16,2,0,2,89,0,0
6.68,2,1,4,43,3,1
7.11,1,1,5,77,3,1
6.71,10,1,2,83,0,1
6.35,8,0,1,66,3,1
6.48,8,0,5,48,0,0
7.84,1,0,0,86,1,1
6.83,11,1,2,55,2,1
7.46,8,1,5,95,1,1
8.01,9,1,2,51,4,1
8.76,4,1,5,70,4,1
6.16,1,1,1,63,4,1
9.2,1,0,0,94,0,1
8.51,3,1,0,53,3,1
6.33,5,0,4,84,1,1
9.49,5,0,5,64,1,1
9.68,9,0,2,73,1,1
6.24,10,0,0,42,1,0
7.11,2,0,0,97,4,1
9.22,2,0,3,63,1,1
8.99,6,0,3,93,3,1
6.74,9,0,0,81,4,1
6.84,1,0,5,48,1,0
7.48,9,0,4,65,0,1
7.94,9,0,0,59,2,1
8.47,9,0,1,79,2,1
7.48,5,1,2,49,2,1
7.85,9,1,4,58,4,1
8.99,11,1,1,42,1,1
6.15,4,1,4,63,4,1
7.01,2,0,1,44,3,0
8.85,6,1,2,42,0,1
9.58,4,0,2,97,0,1
8.05,6,0,3,66,2,1
8.13,3,1,5,55,2,1
6.43,6,0,1,88,2,1
7.79,2,1,3,54,1,1
8.13,2,1,1,74,3,1
6.97,9,1,3,51,3,1
7.08,7,1,2,80,3,1
7.51,3,0,4,92,3,1
6.08,11,0,3,83,2,1
7.29,1,0,1,65,0,0
6.85,8,0,1,86,2,1
7.31,6,1,5,73,3,1
6.48,7,1,2,62,2,1
9.56,9,1,1,70,3,1
8.37,5,0,0,89,4,1
8.72,1,0,4,59,0,1
9.16,10,0,3,51,4,1
7.99,7,0,5,62,1,1
6.35,5,1,4,43,2,1
8.15,3,0,2,62,1,1
8.35,9,0,5,87,2,1
8.98,1,0,3,94,4,1
7.73,1,1,3,87,3,1
6.51,1,1,0,40,3,0
7.14,3,0,2,93,2,1
7.45,6,0,5,64,3,1
8.58,10,0,5,41,4,1
8.28,11,0,1,69,3,1
7.42,3,1,0,42,4,1
9.95,8,1,0,97,1,1
8.42,10,0,5,60,4,1
6.95,2,0,5,64,0,0
6.41,9,1,4,59,0,1
6.61,3,0,4,88,0,1
6.98,5,1,4,91,2,1
6.64,10,0,0,61,2,1
6.75,8,0,1,60,2,1
7.14,2,0,3,72,4,1
6.69,6,0,4,91,2,1
9.59,5,1,1,77,1,1
6.32,10,0,2,54,0,0
8.1,9,0,4,97,4,1
7.64,5,0,3,97,0,1
9.93,2,0,2,85,2,1
6.45,5,0,2,91,4,1
7.59,4,0,3,54,3,1
9.88,11,1,4,85,1,1
9.46,7,0,0,64,2,1
9.27,6,0,3,60,2,1
7.03,2,1,3,63,1,1
6.68,11,0,3,96,1,1
8.67,11,1,2,97,3,1
9.72,5,0,1,44,2,1
8.23,7,1,0,45,2,1
8.29,11,1,4,88,0,1
7.12,7,1,4,82,4,1
9.08,5,1,1,87,4,1
6.75,9,0,3,83,0,1
7.29,4,1,0,86,4,1
7.7,11,0,4,62,1,1
8.03,3,0,5,43,4,1
6.97,4,0,4,66,4,1
6.46,5,0,3,57,0,0
8.44,6,0,5,60,3,1
7.15,3,0,1,67,4,1
8.32,2,0,0,74,4,1
6.62,4,1,1,61,3,1
7.92,5,1,1,79,0,1
8.13,4,0,0,62,3,1
6.21,11,0,0,42,0,0
7.35,3,0,4,79,1,1
6.54,8,0,4,89,0,1
6.25,10,0,0,49,1,0
9.96,4,0,5,64,1,1
7.29,2,0,2,91,0,1
9.24,2,1,4,88,2,1
7.02,1,0,2,47,0,0
8.73,4,0,5,94,4,1
9.04,10,0,0,50,4,1
8.38,9,0,5,44,2,1
7.89,11,0,4,97,1,1
7.65,7,1,1,84,2,1
7.4,10,0,0,92,4,1
9.72,7,0,3,94,2,1
9.32,7,1,2,76,0,1
9.86,8,1,5,95,2,1
6.5,1,1,0,98,1,1
8.92,10,0,5,84,0,1
9.75,10,1,0,77,3,1
6.72,8,0,4,68,4,1
6.27,4,0,4,44,4,1
8.96,4,0,4,48,2,1
8.3,4,0,5,98,0,1
9.37,6,0,3,87,3,1
6.56,7,0,4,41,0,0
9.18,6,1,0,40,4,1
6.81,1,1,4,79,0,1
6.65,8,1,1,99,3,1
6.66,10,0,4,90,2,1
9.26,11,1,5,69,1,1
8.66,7,0,3,50,0,1
8.09,6,1,1,67,1,1
7.44,6,0,5,83,4,1
9.51,5,1,5,51,2,1
7.57,6,0,5,78,2,1
9.27,9,1,0,65,0,1
7.76,10,1,5,52,2,1
7.51,9,0,0,98,0,1
7.85,10,0,5,47,0,1
7.21,8,1,2,93,1,1
8.99,10,0,1,67,2,1
8.01,9,1,2,97,0,1
6.93,10,0,5,69,1,1
9.6,8,0,1,48,3,1
7.54,8,0,1,78,1,1
8.17,1,0,3,70,1,1
9.63,10,1,2,97,0,1
8.5,11,0,3,60,4,1
6.47,5,0,1,95,4,1
9.76,4,0,0,86,4,1
8.51,2,0,1,73,1,1
7.34,8,1,3,94,0,1
6.56,3,1,2,70,2,1
9.18,4,0,5,91,1,1
8.48,7,1,5,64,1,1
8.13,10,1,2,51,0,1
9.58,9,0,5,40,3,1
9.15,2,1,5,94,1,1
6.61,3,0,3,61,3,1
7.25,4,0,2,79,3,1
6.99,10,1,4,76,4,1
8.98,1,0,0,86,0,1
6.13,7,1,0,40,3,1
8.28,2,1,5,40,0,1
9.05,5,0,0,96,4,1
9.51,1,1,2,81,0,1
7.37,3,0,2,93,1,1
9.29,2,0,1,81,3,1
6.44,1,1,1,60,0,0
9.39,7,1,0,54,2,1
6.51,5,0,4,56,0,0
7.59,1,0,1,61,3,1
9.19,6,1,1,77,4,1
6.6,5,1,2,74,4,1
6.92,3,1,4,84,3,1
8.89,7,0,5,55,1,1
8.88,11,0,0,47,1,1
8.56,10,0,1,86,4,1
8.78,9,1,4,56,4,1
8.17,9,0,4,56,3,1
7.01,9,0,0,93,1,1
7.38,2,1,4,65,4,1
6.73,3,0,4,52,1,0
9.63,7,1,4,56,4,1
8.33,5,1,1,77,0,1
7.6,2,1,0,56,2,1
7.85,3,0,4,87,0,1
9.79,10,0,4,53,4,1
6.61,6,1,1,84,2,1
8.34,7,1,0,45,2,1
8.02,9,1,2,74,4,1
8.45,1,0,1,85,4,1
6.07,11,1,0,53,1,1
9.49,7,1,4,86,4,1
9.73,8,1,0,47,3,1
8.26,3,1,0,54,4,1
8.79,4,1,5,93,3,1
9.69,10,1,0,66,4,1
8.83,6,0,2,52,1,1
6.61,10,0,0,88,3,1
8.31,7,0,2,70,0,1
8.43,4,0,4,92,3,1
7.7,8,0,2,95,1,1
8.95,5,0,4,74,3,1
9.74,1,0,4,99,4,1
9.7,4,0,2,45,4,1
7.8,3,1,1,44,1,1
6.45,9,1,3,61,2,1
9.94,8,0,0,97,4,1
9.36,1,1,5,88,0,1
6.5,11,0,3,62,1,1
9.68,6,0,0,64,3,1
9.48,9,0,0,73,3,1
8.08,7,0,4,65,0,1
8.37,4,1,0,86,4,1
7.6,1,1,5,44,1,1
6.22,2,0,0,65,0,0
7.34,5,0,2,59,4,1
9.21,11,0,3,45,1,1
6.02,5,0,2,45,3,0
7.33,8,0,5,98,1,1
7.59,6,0,0,89,2,1
8.15,8,1,5,57,1,1
9.68,2,1,4,43,2,1
7.39,3,0,2,56,1,1
7.39,6,1,2,96,2,1
8.95,10,0,1,53,3,1
7.81,3,0,0,53,4,1
6.9,6,0,4,52,2,1
7.81,6,1,2,46,2,1
6.56,2,1,2,83,3,1
6.71,7,1,4,94,2,1
7.99,2,0,5,54,0,1
7.68,6,1,5,58,3,1
9.66,1,0,0,82,0,1
7.45,3,1,1,86,3,1
8.32,2,0,2,83,2,1
8.53,7,0,1,74,0,1
6.05,4,0,5,56,2,0
8.65,8,1,5,74,3,1
6.71,6,0,3,58,2,1
9.84,10,1,0,59,0,1
6.59,4,0,3,75,0,0
7.66,5,1,3,74,2,1
6.34,9,1,3,71,1,1
9.99,7,1,0,97,3,1
8.01,10,0,0,87,3,1
8.38,9,0,4,83,2,1
6.27,7,0,1,79,1,0
9.0,1,1,1,63,0,1
6.84,8,0,4,56,4,1
9.59,4,0,4,46,4,1
6.82,3,0,5,82,2,1
6.76,7,0,3,89,1,1
6.15,3,1,4,40,1,0
7.89,8,0,2,74,3,1
8.26,6,1,1,71,0,1
6.26,5,0,4,75,1,0
9.1,4,0,2,52,4,1
7.81,8,0,2,45,0,1
8.1,8,0,2,97,0,1
7.76,1,0,5,53,2,1
7.6,9,1,5,76,1,1
8.24,5,0,2,87,2,1
6.62,4,1,5,54,1,1
6.73,6,0,3,86,3,1
9.45,6,0,2,43,2,1
9.78,2,1,3,79,2,1
7.49,8,0,3,98,4,1
